drug_no,drug_name
AC34969100,"SERECIN CAPSULES 10MG ""YY"" (OXAZOLAM)"
AC34978500,"DICLOPHEN SUPPOSITORY 12.5MG (DICLOFENAC) ""DTS"
AC34979100,"DERZIQU TABLETS 400MG (CIMETIDINE) ""M.T."
AC349791G0,"DERZIQU TABLETS 400MG (CIMETIDINE) ""M.T."
AC34980500,"DICLOPHEN SUPPOSITORY 25MG ""DTS"
AC34981100,BENMARONE TABLETS 50MG
AC34986100,"CUNTONG TABLETS 20MG (PIROXICAM) ""ROOT"
AC35009100,"OXYTYNIN TABLETS 5MG ""CHINETENG"" (OXYBUTYNIN)"
AC35011100,"BUSP TABLETS 10MG (BUSPIRONE) ""H.S."
AC35035316,"VIRUN CREAM 50MG/GM (ACYCLOVIR) ""H.S."
AC35035321,"VIRUN CREAM 50MG/GM (ACYCLOVIR) ""H.S."
AC35049212,UFO POWDER FOR INJECTION (FOSFOMYCIN)
AC35049219,UFO POWDER FOR INJECTION (FOSFOMYCIN)
AC35054100,"LEFENINE F.C.TABLETS 50MG""C.H."" (FLURBIPROFEN)"
AC35055321,BECYLIC OINTMENT
AC35055329,BECYLIC OINTMENT
AC35055335,BECYLIC OINTMENT
AC35055338,BECYLIC OINTMENT
AC35060100,"AMGICOL 30MG TABLETS (AMBROXOL) ""ROYAL"
AC350601G0,"AMGICOL 30MG TABLETS (AMBROXOL) ""ROYAL"
AC35065100,"BIGAST TABLETS 1000MG ""Y.C."" (SUCRALFATE)"
AC35067221,FENDECA 8MG/ML INJECTION (FENSPIRIDE)
AC35068100,"MYCOME TABLETS 125MG ""SWISS"" (MICONAZOLE)"
AC35069100,"Blasec Tablets 5mg ""MACRO"" (Oxybutynin)"
AC35087100,"BENZARONE TABLETS 100MG ""C.H."
AC35088500,"VETIN SUPPOSITORIES 12.5MG (DICLOFENAC) ""C.C.P.C."
AC35129100,"SURING TABLETS ""ROOT"
AC35140337,TEMENAZOLE CREAM
AC35140365,TEMENAZOLE CREAM
AC35159100,"CIMETIN TABLETS 300MG ""N.C.P"" (CIMETIDINE)"
AC35160100,"PAURAPOL CAPSULES 250MG (METRONIDAZOLE) ""J.A."
AC35163100,"SULPIDIN CAPSULES 50MG ""J.A."" (SULPIRIDE)"
AC35177100,"ROTILIUM 10MG F.C. TABLETS (DOMPERIDONE) ""ROYAL"
AC35178100,"KETOMIN CAPSULES 1MG ""EVEREST"" (KETOTIFEN)"
AC35179100,"LEFENINE F.C. TABLETS 100MG ""C.H.""(FLURBIPROFEN)"
AC35180100,"FENOTEC TABLETS 2.5MG (FENOTEROL) ""EVEREST"
AC35182209,"CETAZONE INJECTION ""S.T."" (CEFMETAZOLE)"
AC35182212,"CETAZONE INJECTION ""S.T."" (CEFMETAZOLE)"
AC35182277,"CETAZONE INJECTION (CEFMETAZOLE) ""S.T."
AC35183309,"KETOCONAZOLE CREAM 20MG/GM ""SINPHAR"
AC35183321,"KETOCONAZOLE CREAM 20MG/GM ""SINPHAR"
AC35183329,"KETOCONAZOLE CREAM 20MG/GM ""SINPHAR"
AC35183335,"KETOCONAZOLE CREAM 20MG/GM ""SINPHAR"
AC35183338,"KETOCONAZOLE CREAM 20MG/GM ""SINPHAR"
AC35183372,"KETOCONAZOLE CREAM 20MG/GM ""SINPHAR"
AC35183399,"KETOCONAZOLE CREAM 20MG/GM ""SINPHAR"
AC35184100,"TUSOLOC TABLETS 2.5MG (TERBUTALINE SULFATE) ""MACRO"
AC35194100,"SULPIRIDE TABLETS 200MG ""Y.Y"
AC35195100,"MELLERZIN SC.TABLETS 100MG (THIORIDAZINE) ""P.L."
AC35213100,"SALINE S.C. TABLETS 50MG ""EVEREST"" (NICAMETATE)"
AC352131G0,"SALINE S.C. TABLETS 50MG (NICAMETATE) ""EVEREST"
AC35255100,"ADEC TABLETS 100MG (MEBENDAZOLE) ""EVEREST"
AC35256100,"SULNINE CAPSULES 10MG ""EVEREST"" (OXAZOLAM)"
AC352561G0,"SULNINE CAPSULES 10MG (OXAZOLAM) ""EVEREST"
AC35266238,"GITOSE 20% INJECTION ""N.K."" (DEXTROSE)"
AC35267238,"GITOSE 50% INJECTION (DEXTROSE) "".N.K."
AC35269209,"KETOFPAN FOR I.M.INJECTION 50MG (KETOPROFEN) ""PANBIOTIC"
AC35269212,"KETOFPAN FOR I.M.INJECTION 50MG (KETOPROFEN) ""PANBIOTIC"
AC35278100,"UROCON TABLETS 5MG ""STANDARD"" (OXYBUTYNIN)"
AC35282100,"POWEGON F.C.T. 400MG ""EVEREST"" (CIMETIDINE)"
AC352821G0,"POWEGON F.C.T. 400MG ""EVEREST"" (CIMETIDINE) "
AC35285100,"SOONWAY TABLETS 10MG (SCOPOLAMINE) ""ROOT"
AC35287321,"AYFUCO CREAM ""ROOT"
AC35287329,"AYFUCO CREAM ""ROOT"
AC35287330,"AYFUCO CREAM ""ROOT"
AC35287335,"AYFUCO CREAM ""ROOT"
AC35287338,AYFUCO CREAM
AC35291212,"FEBIN INJECTION 25MG/ML ""TAI YU""(KETOPROFEN)"
AC35336100,"URINSU TABLETS 200MG (FLAVOXATE)""YY"
AC35355100,"PARTANE TABLETS 5MG ""MACRO"" (TRIHEXYPHENIDYL HYDROCHLORIDE)"
AC35363338,"MYCOSON EXTERNAL SOLUTION 10MG/ML ""S.Y."" (BIFONAZOLE)"
AC35363345,"MYCOSON EXTERNAL SOLUTION 10MG/ML ""S.Y."" (BIFONAZOLE)"
AC35365100,"GENOLIN TABLETS 10MG ""YY"" (DOMPERIDONE)"
AC353651G0,"GENOLIN TABLETS 10MG ""YY"" (DOMPERIDONE)"
AC35366135,"FUNWIHU SUSPENSION 20MG/ML (CIMETIDINE) ""CHEN TA"
AC35366165,"FUNWIHU SUSPENSION 20MG/ML (CIMETIDINE) ""CHEN TA"
AC35367100,"WESIPIN F.C.TABLETS 100MG ""EVEREST"" (ATENOLOL)"
AC353671G0,"WESIPIN F.C.TABLETS 100MG (ATENOLOL) ""EVEREST"
AC35370100,"DECORON TABLETS 0.5MG ""EVEREST"" (DEXAMETHASONE)"
AC35390100,"NAPOTON TABLETS 500MG (NAPROXEN) ""YY"
AC35391321,"ACLOVIR CREAM 500MG/GM (ACYCLOVIR) ""SINPHAR"
AC35398100,TRIVEMIN TABLETS
AC35399100,"NAPROXEN TABLETS 500MG ""ASTAR"
AC35410100,"NAPROXEN TABLETS 250MG ""ASTAR"
AC35411100,"CIMETIDINE TABLETS 400MG ""ASTAR"
AC35412100,"CEPHALEXIN TABLETS 500MG ""S.T."
AC35415100,"BEROASMA TABLETS 2.5MG (FENOTEROL) ""CHEN TA"
AC35417100,GINTEC FILM COATED TABLET
AC354171G0,GINTEC FILM COATED TABLET
AC35420100,"SMARTEN TABLETS 25MG ""H.S."" (CAPTOPRIL)"
AC354201G0,"SMARTEN TABLETS 25MG (CAPTOPRIL)""H.S."
AC35422100,"BACLOFEN TABLETS 10MG ""C.H."
AC35424127,"CHOLES POWDER ""S.D."" (CHOLESTYRAMINE RESIN)"
AC35430209,"BINISON INJ. 50MG/ML ""SWISS""(HALOPERIDOL)"
AC35430216,"BINISON INJ. 50MG/ML ""SWISS""(HALOPERIDOL)"
AC35434100,"KENBO CAPSULES 150MG (SILYMARIN)""S.P."
AC35439100,"ANTIFAT TABLETS 200MG (BEZAFIBRATE) ""ASTAR"
AC35441151,"JINCOLIN SYRUP ""CHEN TA"
AC35445100,"TINSAN F.C. TABLETS 9.6MG ""CHINTENG"" (GINKGOFLAVONGLYCOSIDE)"
AC35455151,"SALBUTAMOL SYRUP 0.4MG/ML ""C.H."
AC35461100,"LOTAN TABLETS 3MG ""W.S."
AC354611G0,"LOTAN TABLETS 3MG ""W.S."
AC35462100,"SEGININE TABLETS 5MG (SELEGILINE) ""MACRO"
AC35467100,"NEWIN TABLETS 5MG (OXYBUTYNIN) ""ROOT"
AC35477100,"PADALIN TABLETS 100MG ""MACRO"" (MEBEVERINE)"
AC354771G0,"PADALIN TABLETS 100MG ""MACRO""(MEBEVERINE)"
AC35486100,"KETOFPAN CAPSULE 100MG (KETOPROFEN) ""PANBIOTIC"
AC35487338,"KETOZOL CREAM 2% ""WEIDAR"" (KETOCONAZOLE)"
AC35488221,"SONTAC INJECTION 10MG/ML  ""T.F."
AC35502100,"BACLOFEN TABLETS 5MG ""C.H."
AC35506100,"EYZU F.C. TABLETS 0.625MG ""CHINTENG"" (CONJUGATED ESTROGENS)"
AC355061G0,"EYZU F.C. TABLETS 0.625MG (CONJUGATED ESTROGENS) ""CHINTENG"")"
AC35514100,"FUJEN F.C. TABLETS 500MG (TINIDAZOLE) ""S.D."
AC35515100,"MYLIN F.C. TABLETS 9.6MG (GINKGOFLAVON GLYCOSIDE) ""S.D."
AC35544321,"V.F. CREAM 50MG/GM (ACYCLOVIR) ""SWISS"
AC35597421,"TROPICAMIDE OPHTHALMIC SOLUTION 4MG/ML ""WU-FU"
AC35634100,"PARAMINE CAPSULE ""EVEREST"
AC356341G0,"PARAMINE CAPSULE ""EVEREST"
AC35637100,"POSIPIN CAPSUULE 5MG ""N.K."" (NIFEDIPINE)"
AC35638100,"BADUSON F.C.TABLETS 200MG (FLAVOXATE) ""C.C.P.C"
AC35639309,"N.S. IRRIGATION ""Y.F."
AC35639312,"N.S. IRRIGATION ""Y.F."
AC35639316,"N.S. IRRIGATION ""Y.F."
AC35639377,"N.S. IRRIGATION ""Y.F."
AC35641238,"ANVITA INJECTION ""ASTAR"
AC35649100,"IPROFEN 400MG F.C.T ""ROYAL"
AC356491G0,"IPROFEN 400MG F.C.T ""ROYAL"
AC35651151,"IBUPROFEN SYRUP 20MG/ML (IBUPROFEN) ""C.H."
AC35656100,"SULPIRIDE TABLETS 200MG ""ASTAR"
AC35665100,"GLUCOMINE F.C. TABLETS 250MG (METFORMIN) ""P.L."
AC356651G0,"GLUCOMINE F.C. TABLETS 250MG  ""P.L.""(METFORMIN)"
AC35668209,"DIPHENIDOL INJECTION 20MG/ML ""S.Y."
AC35670100,"GLIPIN TABLET 5MG (GLIPIZIDE) ""SWISS"
AC35671209,"FLUCAN INJECTION 25MG/ML (FLUPAHEAZINE) ""SWISS"
AC35671219,"FLUCAN INJECTION 25MG/ML (FLUPAHEAZINE) ""SWISS"
AC35678100,"WECOLI TABLET 10MG ""YY""(BETHANECHOL CHLORIDE)"
AC356781G0,"WECOLI TABLET 10MG""YY""( (BETHANECHOL CHLORIDE) "
AC35679212,"KETOFEN INJECTION 50MG/ML (KETOPROFEN) ""SWISS"
AC35680321,"S.Z. CREAM 0.5MG/G ""STANDARD"" (CLOBETASOL)"
AC35680329,"S.Z. CREAM 0.5MG/G ""STANDARD"" (CLOBETASOL)"
AC35680399,"S.Z. CREAM 0.5MG/G ""STANDARD"" (CLOBETASOL)"
AC35691100,Binin-U Tablet 10 mg (Haloperidol)
AC35692100,"DOXYMYCIN ENTERIC COATED CAPSULES 100MG ""YUNG SHIN""(DOXYCYCLINE)"
AC356921G0,"DOXYMYCIN ENTERIC COATED CAPSULES 100MG ""YUNG SHIN"" (DOXYCYCLINE) "
AC35696329,"FREE GEL 7.5MG/GM (METRONIDAZOLE) ""SWISS"
AC35696335,"FREE GEL 7.5MG/GM  ""SWISS""(METRONIDAZOLE)"
AC35696338,"FREE GEL 7.5MG/GM (METRONIDAZOLE) ""SWISS"
AC35697335,"ZUMELIN CREAM 20MG/GM ""H.S."" (KETOCONAZOLE)"
AC35697338,"ZUMELIN CREAM 20MG/GM ""H.S.""(KETOCONAZOLE)"
AC35698199,"B-CUT SOLUTION 60% ""YUNG SHIN"" (LACTULOSE)"
AC35702100,"FRAGIVIX TABLETS 100MG (BENZARONE) ""S.D."
AC35705100,"BONSTAN F.C. TABLET 500MG ""EVEREST"" (MEFENAMIC ACID)"
AC357051G0,"BONSTAN F.C. TABLET 500MG (MEFENAMIC ACID) ""EVEREST"
AC35788321,NYCINDIN CREAM
AC35788330,NYCINDIN CREAM
AC35788335,NYCINDIN CREAM
AC35788336,NYCINDIN CREAM
AC35795100,"GLICLA TABLETS 80MG ""CHINTENG"" (GLICLAZIDE)"
AC357951G0,"GLICLA TABLETS 80MG ""CHINTENG"" (GLICLAZIDE) "
AC35806100,"GLUPIZIDE TABLETS 5MG (GLIPIZIDE)""S.D."
AC35817100,"BECANTEX S.C.TABLET 30MG ""C.H."" (SODIUM DIBUNATE)"
AC358171G0,"BECANTEX S.C.TABLET 30MG ""C.H."" (SODIUM DIBUNATE)"
AC35831209,"CETALIN FOR INJECTION (CEFTRIAXONE)""CHI SHENG"
AC35831277,"CETALIN FOR INJECTION (CEFTRIAXONE)""CHI SHENG"
AC35835100,"MEDNIN TABLETS 4MG ""H.S."" (METHYLPREDNISOLONE)"
AC35836100,"CAPROINE TABLETS 50MG ""ROYAL"" (CAPTOPRIL)"
AC35838100,GEMBIT CAPSULES 300MG (GEMFIBROZIL)
AC358381G0,GEMBIT CAPSULES 300MG (GEMFIBROZIL)
AC35844100,"SEPHROS CAPSULES 500MG (CEPHRADINE) ""YUNG SHIN"
AC35845100,"M.F.N. F.C.T. 500MG (MEFENAMIC ACID) ""C.H."
AC35868100,"MINOCYCLINE CAPSULE 100MG ""CCPC"
AC35869329,EFUCON GEL 7.5MG/GM (METRONIDAZOLE)
AC35869330,EFUCON GEL 7.5MG/GM (METRONIDAZOLE)
AC35869335,EFUCON GEL 7.5MG/GM (METRONIDAZOLE)
AC35878100,"TONLAEN CAPSULE 300MG ""CHEN TA"" (FENBUFEN)"
AC35879100,"SEPRIDE TABLETS 200MG (SULPIRIDE) ""M.S."
AC35888321,"SALINSE OINTMENT ""GCPC"
AC35888329,SALINSE OINT.
AC35888335,"SALINSE OINTMENT ""GCPC"
AC35890100,"CLINDAMYCIN HYDROCHLORIDE 150MG CAP ""YY"
AC35891100,"AJULATE SOFT CAPSULE 10MG ""F.M."" (NIFEDIPINE)"
AC35893209,"XYLITOL INJECTION 5% ""N.K."
AC35893238,"XYLITOL INJECTION 5% ""N.K."
AC35893265,"XYLITOL INJECTION 5% ""N.K."
AC35893277,"XYLITOL INJECTION 5% ""N.K."
AC35911212,"GASTINE INJECTION 10MG/ML ""PURZER""(FAMOTIDINE)"
AC35912100,LITION CAPSULES 10MG (PHENOXYBENZAMINE HYDROCHLORIDE)
AC35929209,"LISACEF FOR INJECTION (CEPHRADINE) 1G ""S.T."
AC35929277,"LISACEF FOR INJECTION (CEPHRADINE) 500MG ""S.T."
AC35955100,"S.C.F. TABLET 1000MG ""C.H."" (SUCRALFATE)"
AC35960100,"CLOZE TABLETS 100MG (BENZARONE) ""ROOT"
AC35961100,"SULMATYL TABLETS 100MG (SULPIRIDE)""P.L"
AC35963100,"SULMATYL TABLETS 200MG (SULPIRIDE)""P.L."
AC35974100,"P.U.N.F.C.TABLET 400MG ""C.H."" (CIMETIDINE)"
AC35977321,"CYCLOVIR CREAM 50MG/GM (ACYCLOVIR) ""S.Y."
AC35977329,"CYCLOVIR CREAM 50MG/GM ""S.Y."" (ACYCLOVIR)"
AC35981100,"AMBRON TABLET 30MG ""F.Y""(AMBROXOL)"
AC359811G0,"AMBRON TABLET 30MG (AMBROXOL) ""F.Y"
AC35986100,"DEGOUT TABLETS 50MG(BENZBROMARONE)""H.S."
AC35989100,LIBRAX S.C. TABLETS
AC35991209,"ROLES POWDER FOR INJECTION 1GM ""GENTLE"" (CEPHALEXIN)"
AC35996100,"PERTIAZEM TABLETS 30MG (DILTIAZEM HYDROCHLORIDE)""ROYAL"
AC359961G0,"PERTIAZEM TABLETS 30MG (DILTIAZEM HYDROCHLORIDE)""ROYAL"" "
AC35997100,"MECO 0.5MG CAPSULES. (MECOBALAMIN) ""S.L"
AC36004100,"IBUPROFEN TABLETS 400MG ""ASTAR"
AC36006100,"ULCERTOP F.C. TABLET 300MG ""B&F"" (DIBISMUTH TRIOXIDE)"
AC36008100,MESTINON S.C. TABLETS 60MG (PYRIDOSTIGMINE BROMIDE)
AC36014277,"0.45% SODIUM CHLORIDE INJECTION ""Y.F."
AC36015345,TEIRIA GEL 100MG/GM (ETOFENAMATE)
AC36020100,TEGRETOL TABLETS 200MG (CARBAMAZEPINE)
AC36031321,BETAGEN CREAM
AC36031329,BETAGEN CREAM
AC36031335,BETAGEN CREAM
AC36031338,BETAGEN CREAM
AC36034100,"SILYMARIN CAPSULES 70MG ""TAI YU"
AC36044129,"CIGAMATE SUSPENSION 20MG/ML ""SINPHAR"" (CIMETIDINE)"
AC36047100,B.B. CAP. 150MG (CLINDAMYCIN)
AC360471G0,B.B. CAP. 150MG (CLINDAMYCIN)
AC36049109,BABYATE ORAL ELECTROLYTE MAINTENANCE SOLUTION
AC36049165,BABYATE ORAL ELECTROLYTE MAINTENANCE SOLUTION
AC36049177,BABYATE ORAL ELECTROLYTE MAINTENANCE SOLUTION
AC36060100,"DE-SPASM CAPSULES 30MG ""H.S."" (TIMEPIDIUM BROMIDE)"
AC36069100,"MOREN E.F.C. TABLET 50MG (DICLOFENAC SODIUM) ""ROYAL"
AC360691G0,"MOREN E.F.C. TABLET 50MG (DICLOFENAC SODIUM) ""ROYAL"
AC36072100,"CLEDOMYCIN CAPSULES 300MG ""ASTAR"" (CLINDAMYCIN)"
AC36082100,"CERO CAPSULES 250MG (CAFACLOR) ""S.T."
AC36083100,"DUBLECON TABLETS ""EVEREST"
AC36084421,"CORKELIN ORAL GEL 1MG/GM ""M.S""(TRIAMCINOLONE)"
AC36084429,"CORKELIN ORAL GEL 1MG/GM ""M.S""(TRIAMCINOLONE)"
AC36092329,XAMACID CREAM
AC36098100,"A.P.N. TABLETS 100MG ""C.H."" (ALLOPURINOL)"
AC36099100,"DICLOFENAC E.F.C. TABLETS 25MG ""KOJAR"
AC360991G0,"DICLOFENAC E.F.C. TABLETS 25MG ""KOJAR"
AC36105100,NAPOSIN C.R. TABLETS 750MG (NAPROXEN)
AC36129100,"ATENOLOL F.C. TABLETS 50MG ""JOHNSON"
AC361291G0,"ATENOLOL F.C. TABLETS 50MG ""JOHNSON"
AC36130100,"ATENOLOL F.C. TABLETS 100MG ""JOHNSON"
AC361301G0,"ATENOLOL F.C. TABLETS 100MG ""JOHNSON""  "
AC36132100,"BLOODNONE CAPSULES 250MG (TRANEXAMIC ACID) ""EVEREST"
AC36151100,"MUBROXOL TABLETS 30MG (AMBROXOL) ""C.C.P.C"
AC361511G0,"MUBROXOL TABLETS 30MG (AMBROXOL) ""C.C.P.C""  "
AC36157100,"URIMARONE TABLETS 50MG (BENZBROMARONE) ""ASTAR"
AC36160110,AMOLIN POWDER FOR ORAL SUSPENSION (AMOXICILLIN)
AC36162100,"PIROCAM CAPSULES 20MG ""KOJAR"" (PIROXICAM)"
AC361621G0,"PIROCAM CAPSULES 20MG ""KOJAR"" (PIROXICAM)"
AC36172157,SECODRINE-C SYRUP
AC36172199,SECODRINE-C SYRUP
AC36174321,"BETAGEN CREAM ""GCPC"
AC36174329,BETAGEN CREAM 10G
AC36174335,"BETAGEN CREAM ""GCPC"
AC36174338,"BETAGEN CREAM""GCPC""20GM"
AC36178100,"PIROCAM CAPSULES 10MG ""KOJAR"
AC361781G0,"PIROCAM CAPSULES 10MG ""KOJAR"" (PIROXICAM)"
AC36181321,"VACORT CREAM ""GCPC"
AC36181329,"VACORT CREAM""GCPC"
AC36181335,"VACORT CREAM ""GCPC"
AC36181338,"VACORT CREAM ""GCPC"
AC36188100,B.B CAPSULE 300MG (CLINDAMYCIN )
AC36192100,"NIXO TABLETS 10MG ""H.S."" (NICERGOLINE)"
AC36195100,"ZUSENLU TABLETS 12MG ""CHINTENG""(BETAHISTINE)"
AC361951G0,"ZUSENLU TABLETS 12MG ""CHINTENG""(BETAHISTINE)"
AC36201100,"METFORMIN TABLET 500MG ""LITA"
AC362011G0,"METFORMIN TABLET 500MG ""LITA"
AC36204100,"BICANOL TABLETS 500MG ""CHINTENG"" (METFORMIN)"
AC362041G0,"BICANOL TABLETS 500MG (METFORMIN) ""CHINTENG"
AC36214100,"CITAMET F.C. TABLETS 400MG ""Y.C."" (CIMETIDINE)"
AC362141G0,"CITAMET F.C TABLETS 400MG ""YC"" (CIMETIDINE)"
AC36215100,"PARKRYL TABLETS ""M.S.""(SELEGILINE)"
AC36216100,"CHIWEGON TABLETS ""EVEREST"
AC36232100,CYCLOLADY CAPSULE 200MG (DANAZOL)
AC36237100,"LINTON F.C. TABLETS 10MG ""KOJAR"" (HYOSCINE BUTYLBROMIDE)"
AC362371G0,"LINTON F.C. TABLETS 10MG ""KOJAR"" (HYOSCINE BUTYLBROMIDE)"
AC36240100,"GLIZIDE TABLETS 80MG ""H.S."" (GLICLAZIDE)"
AC362401G0,"GLIZIDE TABLETS 80MG ""H.S."" (GLICLAZIDE) "
AC36241100,"TIMEPIN TABLETS 30MG ""H.S."" (TIMEPIDIUM)"
AC36247100,"TAMEDIN F.C. TABLET 400MG (CIMETIDINE) ""STANDARD"
AC362471G0,"TAMEDIN F.C. TABLET 400MG (CIMETIDINE) ""STANDARD"
AC36248100,"L.F.N. TABLET ""C.H."" 100MG (FLURBIPROFEN)"
AC36252100,"NITRAZEPAM TABLETS 5MG ""ASTAR"
AC36266100,"MELICIN CAPSULES 100MG (MINOCYCLINE) ""H.S."
AC36267100,"ANAZIN TABLETS 50MG (FLURBIPROFEN) ""SHOU CHAN"
AC362671G0,"ANAZIN TABLETS 50MG (FLURBIPROFEN) ""SHOU CHAN"" "
AC36280100,"REPININ TABLETS 5MG ""H.C"" (OXYBUTYNIN)"
AC36281100,"CYCLIN CAPSULE 100MG (MINOCYCLINE) ""PURZER"
AC36283100,"BECLOFEN TABLETS 10MG ""Y.Y."
AC36312100,"TOCOLIN F.C.T. 30MG ""EVEREST"" (CARBETAPENTANE CITRATE)"
AC36315321,"CLOBETASOL CREAM 0.5MG/GM ""SINPHAR"
AC36315324,"CLOBETASOL CREAM 0.5MG/GM ""SINPHAR"
AC36315329,"CLOBETASOL CREAM 0.5MG/GM ""SINPHAR"
AC36315340,"CLOBETASOL CREAM 0.5MG/GM ""SINPHAR"
AC36322100,ETHOS CAPSULES 100MG (MECLOFENAMIC ACID)
AC36330151,"Purzer"" Ventol Liquid 5.34mg/mL (Theophylline)"
AC36332143,"GIKO DROPS 9.6MG (GYNKGOFLAVONGLYCOSIDE) ""H.S."
AC36338100,"HEMOBEND TABLETS 100MG ""H.S."" (BENZARONE)"
AC36345255,PROXACIN INFUSION SOLUTION 2MG/ML (CIPROFLOXACIN)
AC363491G0,UFORMIN TABLETS 500MG 
AC36350500,"BISADYL SUPPOSITORIES 10MG (BISACODYL) ""MEIDER"
AC36356100,TIDACT CAPSULES 300MG (CLINDAMYCIN)
AC36357329,"SAN-TON GEL 100MG/GM ""CHINTENG"" (ETOFENAMATE)"
AC36360100,"VORTAGEN E.C. TAB. 50MG ""EVEREST"" (DICLOFENAC)"
AC36365209,CETAXIME FOR INJECTION
AC36365212,CETAXIME FOR INJECTION
AC36365265,CETAXIME FOR INJECTION
AC36365277,CETAXIME FOR INJECTION
AC36367100,"AMITON TABLETS ""H.S."
AC36370100,"CLONICE TABLETS 5MG""T.F."" (OXYBUTYNIN)"
AC36385100,"MESCO CAPSULES 500UG (MECOBALAMIN) ""YY"
AC363851G0,"MESCO CAPSULES 500UG ""YY""(MECOBALAMIN)"
AC36389100,"LEGAFEN TABLETS ""Y.C"" (BACLOFEN)"
AC36395100,"GLIGLUCON TABLETS 5MG (GLIPIZIDE) ""ROYAL"
AC363951G0,"GLIGLUCON TABLETS 5MG (GLIPIZIDE) ""ROYAL"
AC36396100,MENCHUAN TABLET 100MG (TICLOPIDINE)
AC36399100,"SILYGEN-F.S.C. TABLETS 35MG ""H.C."" (SILYMARIN)"
AC36402209,"MENITO INJECTION 50MG/ML (DIMENHYDRINATE) ""ORENTAL"
AC36403100,"STAYBAN TAB. 50MG ""YC"" (FLURBIPROFEN)"
AC364031G0,STAYBAN TABLETS 50MG“Y.C.” (FLURBIPROFEN
AC36410100,"MODONE TABLETS 10MG ""EVEREST"" (DOMPERIDONE)"
AC364101G0,"MODONE TABLETS 10MG ""EVEREST"" (DOMPERIDONE)"
AC36413329,"SEU-SU CREAM 1MG/GM ""CHINTENG"" (TRIAMCINOLONE ACETONIDE)"
AC36420209,"SISOGEN INJECTION 50MG/ML (SISOMICIN) ""GENTLE"
AC36420212,"SISOGEN INJECTION 50MG/ML (SISOMICIN) ""GENTLE"
AC36422100,"MEPRIM TABLETS 100MG. (TRIMETHOPNIM) ""JOHNSON"
AC36425100,KERFENMYCIN CAPSULES 500MG (CEFACLOR)
AC36426100,KERFENMYCIN CAPSULES 250MG (CEFACLOR)
AC36427100,"BACLOFEN TABLETS 10MG ""ASTER"
AC36430100,"COAN CAPSULES 250MG ""S.C."" (NIFLUMIC ACID)"
AC36431100,"GLIBETIN TABLETS 5MG (GLIPIZIDE)""JOHNSON"
AC36454100,"MEZOLIN CAPSULES ""EVEREST"
AC364541G0,"MEZOLIN CAPSULES ""EVEREST"
AC36469212,B. B. INJECTION 150MG/ML (CLINDAMYCIN)
AC36475100,"CIRCULON F.C. TABLETS 9.6MG ""PBF"" (GINKGOFLAVON GLYCOSIDES)"
AC36480100,"ANWENIN TABLETS 500MG ""C.L."
AC36481312,ANTIVIRS CREAM 50MG/GM
AC36481317,ANTIVIRS CREAM 50MG/GM
AC36481321,"ANTIVIRS CREAM 50MG/GM (ACYCLOVIR) ""GCPC"
AC36481325,"ANTIVIRS CREAM 50MG/GM""GCPC""(ACYCLOVIR)"
AC36481329,"ANTIVIRS CREAM 50MG/GM (ACYCLOVIR) ""GCPC"
AC36483100,"CLEAROL CAPSULES 300MG ""H.S"" (GEMFIBROZIL)"
AC364831G0,"CLEAROL CAPSULES 300MG ""H.S""(GEMFIBROZIL)"
AC36484100,"METIPINE TABLETS 300MG ""KOJAR""(TRIMETHOPRIM)"
AC36485100,"FUKON TABLETS 50MG ""KOJAR"" (FLURBIPROFEN)"
AC364851G0,"FUKON TABLETS 50MG (FLURBIPROFEN)""KOJAR"
AC36500321,"SHU-BA-HANI CREAM ""CHINTENG"
AC36500329,"SHU-BA-HANI CREAM""CHINTENG"
AC36500335,"SHU-BA-HANI CREAM""CHINTENG"
AC36503100,CONAPIN TABLET
AC365031G0,CONAPIN TABLET
AC36506100,"SUNPYLON TABLETS 50MG ""MACRO"" (SULPIRIDE)"
AC365061G0,"SUNPYLON TABLETS 50MG ""MACRO"" (SULPIRIDE)"
AC36508100,"OFLOCIN F.C. TABLETS. 100MG (OFLOXACIN) ""H.S."
AC36510209,CEFZONE FOR IM/IV POWDER FOR INJECTION
AC36510277,CEFZONE FOR IM/IV POWDER FOR INJECTION
AC36511100,"SPASTOLATE TABLETS ""NYSCO"
AC36534100,"NOOJOHN  CAPSULES 400MG. (PIRACETAM) ""JOHNSON"
AC36574110,"CERO GRANULES FOR SYRUP 50MG/ML ""S.T."" (CEFACOLR)"
AC36576477,"GENTAX EYE DROPS 3MG/ML ""MEDICINE"" (GENTAMICIN)"
AC36580100,SUXEN FILM COATED TABLETS 750MG (CIPROFLOXACIN)
AC36597209,"TRADOL INJECTION 50MG/ML ""GENTLE""(TRAMADOL HYDROCHLORIDE)"
AC36597212,"TRADOL INJECTION 50MG/ML (TRAMADOL HYDROCHLORIDE) ""GENTLE"
AC36600100,"TOWELL TABLETS ""EVEREST"
AC366001G0,"TOWELL TABLETS ""EVEREST"
AC36601221,"GINTEC INJECTION 0.84MG/ML ""S.Y."" (GINKGOFLAVONGLYCOSIDE)"
AC36612100,"PEPTOSOL TABLET 120MG ""SINPHAR""  (DIBISMUTH TRIOXIDE)"
AC36632421,"SINTROPIC OPHTHALMIC SOLUTION 10MG/ML (TROPICAMIDE) ""SINPHAR"
